,Brewery,City,State,Beer,ABV,IBU,Style,Ounces
1,King Street Brewing Company,Anchorage, AK,Amber Ale,0.051,NA,American Amber / Red Ale,12
2,King Street Brewing Company,Anchorage, AK,King Street Blonde Ale,0.049,NA,American Blonde Ale,12
3,King Street Brewing Company,Anchorage, AK,King Street Pilsner,0.055,NA,Czech Pilsener,12
4,King Street Brewing Company,Anchorage, AK,King Street IPA,0.06,70,American IPA,12
5,King Street Brewing Company,Anchorage, AK,King Street Hefeweizen,0.057,10,Hefeweizen,12
6,Midnight Sun Brewing Company,Anchorage, AK,Pleasure Town IPA,0.063,61,American IPA,12
7,Midnight Sun Brewing Company,Anchorage, AK,Kodiak Brown Ale,0.05,24,American Brown Ale,12
8,Midnight Sun Brewing Company,Anchorage, AK,Sockeye Red IPA,0.057,70,American IPA,12
9,Midnight Sun Brewing Company,Anchorage, AK,Snowshoe White Ale,0.048,12,Witbier,12
10,Midnight Sun Brewing Company,Anchorage, AK,Pleasure Town,0.063,61,American IPA,12
11,Alaskan Brewing Company,Juneau, AK,Alaskan Amber,0.053,18,Altbier,12
12,Alaskan Brewing Company,Juneau, AK,Freeride APA,0.053,40,American Pale Ale (APA),12
13,Denali Brewing Company,Talkeetna, AK,Single Engine Red,0.058,46,Irish Red Ale,12
14,Denali Brewing Company,Talkeetna, AK,Chuli Stout,0.059,55,Irish Dry Stout,12
15,Denali Brewing Company,Talkeetna, AK,Mother Ale,0.056,46,American Blonde Ale,12
16,Denali Brewing Company,Talkeetna, AK,Twister Creek India Pale Ale,0.065,71,American IPA,12
17,Kenai River Brewing Company,Soldotna, AK,Skilak Scottish Ale,0.058,NA,Scottish Ale,12
18,Kenai River Brewing Company,Soldotna, AK,Peninsula Brewers Reserve (PBR),0.05,15,American Blonde Ale,12
19,Kenai River Brewing Company,Soldotna, AK,Skilak Scottish Ale (2011),0.058,NA,Scottish Ale,12
20,Kenai River Brewing Company,Soldotna, AK,Sunken Island IPA,0.068,NA,American IPA,12
21,Broken Tooth Brewing Company,Anchorage, AK,Chugach Session Ale,0.048,NA,Cream Ale,12
22,Broken Tooth Brewing Company,Anchorage, AK,Polar Pale Ale,0.052,17,American Pale Ale (APA),12
23,Broken Tooth Brewing Company,Anchorage, AK,Northern Lights Amber Ale,0.05,15,American Amber / Red Ale,12
24,Broken Tooth Brewing Company,Anchorage, AK,Fairweather IPA,0.061,64,American IPA,12
25,Sleeping Lady Brewing Company,Anchorage, AK,Urban Wilderness Pale Ale,0.049,NA,English Pale Ale,12
26,Back Forty Beer Company,Gadsden, AL,Naked Pig Pale Ale,0.06,43,American Pale Ale (APA),12
27,Back Forty Beer Company,Gadsden, AL,Truck Stop Honey Brown Ale,0.06,NA,English Brown Ale,12
28,Straight to Ale,Huntsville, AL,Monkeynaut IPA,0.072,70,American IPA,12
29,Straight to Ale,Huntsville, AL,Sand Island Lighthouse,0.051,25,Kölsch,12
30,Straight to Ale,Huntsville, AL,Lily Flagg Milk Stout,0.05,30,Milk / Sweet Stout,12
31,Good People Brewing Company,Birmingham, AL,Snake Handler Double IPA,0.093,103,American Double / Imperial IPA,12
32,Good People Brewing Company,Birmingham, AL,Good People Pale Ale,0.056,36,American Pale Ale (APA),12
33,Good People Brewing Company,Birmingham, AL,Good People IPA,0.06,64,American IPA,12
34,Good People Brewing Company,Birmingham, AL,Good People American Brown Ale,0.058,36,American Brown Ale,12
35,Good People Brewing Company,Birmingham, AL,Coffee Oatmeal Stout,0.06,54,Oatmeal Stout,12
36,Core Brewing & Distilling Company,Springdale, AR,Arkansas Red,0.052,NA,American Amber / Red Ale,12
37,Core Brewing & Distilling Company,Springdale, AR,Core Oatmeal Stout,0.057,NA,Oatmeal Stout,12
38,Core Brewing & Distilling Company,Springdale, AR,Core ESB,0.061,NA,Extra Special / Strong Bitter (ESB),12
39,Core Brewing & Distilling Company,Springdale, AR,Behemoth,0.05,NA,American Pilsner,12
40,Ozark Beer Company,Rogers, AR,Ozark American Pale Ale,0.04,39,American Pale Ale (APA),12
41,SanTan Brewing Company,Chandler, AZ,Devil’s Ale,0.055,45,American Pale Ale (APA),12
42,SanTan Brewing Company,Chandler, AZ,Sex Panther (2014),0.069,20,American Porter,12
43,SanTan Brewing Company,Chandler, AZ,Mr. Pineapple,0.05,20,Fruit / Vegetable Beer,12
44,SanTan Brewing Company,Chandler, AZ,Count Hopula (Vault Series),0.091,99,American Double / Imperial IPA,16
45,SanTan Brewing Company,Chandler, AZ,SanTan HefeWeizen,0.05,15,Hefeweizen,12
46,SanTan Brewing Company,Chandler, AZ,Supermonk I.P.A.,0.065,NA,Belgian IPA,12
47,SanTan Brewing Company,Chandler, AZ,Epicenter Amber Ale,0.055,20,American Amber / Red Ale,12
48,SanTan Brewing Company,Chandler, AZ,Hop Shock IPA,0.07,85,American IPA,12
49,SanTan Brewing Company,Chandler, AZ,I.W.A. (2011),0.06,NA,American Pale Wheat Ale,12
50,SanTan Brewing Company,Chandler, AZ,Oktoberfest,0.055,NA,Märzen / Oktoberfest,12
51,SanTan Brewing Company,Chandler, AZ,Winter Warmer (Vault Series),0.095,25,Winter Warmer,16
52,SanTan Brewing Company,Chandler, AZ,Rail Slide Imperial Spiced Ale,0.081,NA,Herbed / Spiced Beer,12
53,SanTan Brewing Company,Chandler, AZ,Sex Panther,0.069,20,American Porter,12
54,SanTan Brewing Company,Chandler, AZ,SanTan HefeWeizen (2010),0.05,15,Hefeweizen,12
55,SanTan Brewing Company,Chandler, AZ,Epicenter Amber Ale (2010),0.055,20,American Amber / Red Ale,12
56,SanTan Brewing Company,Chandler, AZ,SunSpot Golden Ale,0.05,15,American Blonde Ale,12
57,SanTan Brewing Company,Chandler, AZ,Hop Shock IPA (2010),0.07,85,American IPA,12
58,SanTan Brewing Company,Chandler, AZ,Devil’s Ale (2010),0.055,45,American Pale Ale (APA),12
59,SanTan Brewing Company,Chandler, AZ,American Idiot Ale (2012),0.055,45,American Pale Ale (APA),12
60,Phoenix Ale Brewery,Phoenix, AZ,Camelback,0.061,60,American IPA,12
61,Lumberyard Brewing Company,Flagstaff, AZ,Lumberyard IPA,0.061,NA,American IPA,12
62,Lumberyard Brewing Company,Flagstaff, AZ,Lumberyard Red Ale,0.058,NA,American Amber / Red Ale,12
63,Lumberyard Brewing Company,Flagstaff, AZ,Knotty Pine,0.054,NA,American Pale Ale (APA),12
64,Lumberyard Brewing Company,Flagstaff, AZ,Lumberyard Pilsner,0.053,20,American Pilsner,12
65,Four Peaks Brewing Company,Tempe, AZ,Kilt Lifter Scottish-Style Ale,0.06,21,,12
66,Four Peaks Brewing Company,Tempe, AZ,Pumpkin Porter,0.051,NA,American Porter,12
67,Four Peaks Brewing Company,Tempe, AZ,Hop Knot IPA,0.067,47,American IPA,12
68,Four Peaks Brewing Company,Tempe, AZ,Sunbru Kölsch,0.052,NA,Kölsch,12
69,Four Peaks Brewing Company,Tempe, AZ,Four Peaks Peach Ale,0.042,9,Fruit / Vegetable Beer,12
70,Four Peaks Brewing Company,Tempe, AZ,Kilt Lifter Scottish-Style Ale (2009),0.06,21,Scottish Ale,12
71,Four Peaks Brewing Company,Tempe, AZ,Sunbru Kölsch,0.052,17,Kölsch,12
72,Borderlands Brewing Company,Tucson, AZ,Noche Dulce,0.071,16,American Porter,16
73,College Street Brewhouse and Pub,Lake Havasu City, AZ,Big Blue Van,0.058,NA,Fruit / Vegetable Beer,16
74,Barrio Brewing Company,Tucson, AZ,Barrio Tucson Blonde,0.045,NA,American Blonde Ale,12
75,Barrio Brewing Company,Tucson, AZ,Barrio Blanco,0.06,60,American IPA,12
76,Mudshark Brewing Company,Lake Havasu City, AZ,Dry Heat Hefeweizen (2006),0.055,NA,Hefeweizen,12
77,Mudshark Brewing Company,Lake Havasu City, AZ,Full Moon Belgian White Ale (2007),0.085,NA,Witbier,12
78,Mudshark Brewing Company,Lake Havasu City, AZ,Full Moon Belgian White Ale,0.085,NA,Witbier,12
79,Mudshark Brewing Company,Lake Havasu City, AZ,Up River Light,0.042,NA,Light Lager,12
80,Mudshark Brewing Company,Lake Havasu City, AZ,Desert Magic IPA,0.072,NA,American IPA,12
81,Grand Canyon Brewing Company,Williams, AZ,Black Iron India Pale Ale,NA,NA,American IPA,12
82,Grand Canyon Brewing Company,Williams, AZ,Grand Canyon American Pilsner,0.052,NA,American Pilsner,12
83,Grand Canyon Brewing Company,Williams, AZ,Grand Canyon Sunset Amber Ale,0.054,NA,American Amber / Red Ale,12
84,Grand Canyon Brewing Company,Williams, AZ,White Water Wheat,0.05,NA,American Pale Wheat Ale,12
85,Prescott Brewing Company,Prescott, AZ,Ponderosa IPA,NA,NA,American IPA,12
86,Prescott Brewing Company,Prescott, AZ,Liquid Amber Ale,NA,NA,American Amber / Red Ale,12
87,Mogollon Brewing Company,Flagstaff, AZ,Wapiti Amber Ale,0.05,NA,American Amber / Red Ale,12
88,Mike Hess Brewing Company,San Diego, CA,Jucundus,0.06,24,Wheat Ale,16
89,Mike Hess Brewing Company,San Diego, CA,Solis,0.075,85,American IPA,16
90,Mike Hess Brewing Company,San Diego, CA,Habitus,0.08,100,American Double / Imperial IPA,16
91,Mike Hess Brewing Company,San Diego, CA,Claritas,0.058,28,Kölsch,16
92,Mike Hess Brewing Company,San Diego, CA,Habitus (2014),0.08,100,American Double / Imperial IPA,16
93,Mike Hess Brewing Company,San Diego, CA,Grazias,0.063,30,Cream Ale,16
94,Fort Point Beer Company,San Francisco, CA,Villager,0.063,42,American IPA,12
95,Fort Point Beer Company,San Francisco, CA,Westfalia,0.056,16,American Amber / Red Ale,12
96,Fort Point Beer Company,San Francisco, CA,KSA,0.046,17,Kölsch,12
97,Fort Point Beer Company,San Francisco, CA,Park,0.047,19,American Pale Wheat Ale,12
98,The Dudes' Brewing Company,Torrance, CA,Grandma's Pecan,0.069,34,English Brown Ale,16
99,The Dudes' Brewing Company,Torrance, CA,South Bay Session IPA,0.05,NA,American IPA,16
100,The Dudes' Brewing Company,Torrance, CA,Surfrider,0.052,35,American Pale Ale (APA),16
101,The Dudes' Brewing Company,Torrance, CA,Double Trunk,0.099,101,American Double / Imperial IPA,16
102,The Dudes' Brewing Company,Torrance, CA,Kolschtal Eddy,0.055,NA,Kölsch,16
103,Ballast Point Brewing Company,San Diego, CA,Big Eye India Pale Ale,0.07,75,American IPA,12
104,Ballast Point Brewing Company,San Diego, CA,Even Keel,0.038,40,American IPA,12
105,Ballast Point Brewing Company,San Diego, CA,Longfin Lager,0.046,NA,Munich Helles Lager,12
106,Ballast Point Brewing Company,San Diego, CA,Ballast Point Pale Ale,0.052,23,Kölsch,12
107,Ballast Point Brewing Company,San Diego, CA,Grapefruit Sculpin,0.07,NA,American IPA,12
108,Ballast Point Brewing Company,San Diego, CA,Sculpin IPA,0.07,70,American IPA,12
109,Anchor Brewing Company,San Francisco, CA,Summer Wheat,0.045,NA,American Pale Wheat Ale,12
110,Anchor Brewing Company,San Francisco, CA,California Lager,0.049,NA,American Amber / Red Lager,12
111,Anchor Brewing Company,San Francisco, CA,IPA,0.065,NA,American IPA,12
112,Anchor Brewing Company,San Francisco, CA,Brotherhood Steam,0.056,NA,California Common / Steam Beer,12
113,Anchor Brewing Company,San Francisco, CA,Liberty Ale,0.059,NA,American IPA,12
114,Figueroa Mountain Brewing Company,Buellton, CA,FMB 101,0.048,20,Kölsch,12
115,Figueroa Mountain Brewing Company,Buellton, CA,Weiss Weiss Baby,0.045,NA,Kristalweizen,12
116,Figueroa Mountain Brewing Company,Buellton, CA,Czech Yo Self,0.055,45,Czech Pilsener,12
117,Firestone Walker Brewing Company,Paso Robles, CA,Pivo Pils,0.053,NA,German Pilsener,12
118,Firestone Walker Brewing Company,Paso Robles, CA,Union Jack,0.075,75,American IPA,12
119,Firestone Walker Brewing Company,Paso Robles, CA,805 Blonde Ale,0.047,NA,American Blonde Ale,12
120,Firestone Walker Brewing Company,Paso Robles, CA,Easy Jack,0.045,47,American IPA,12
121,Firestone Walker Brewing Company,Paso Robles, CA,805,0.047,20,American Blonde Ale,12
122,Speakasy Ales & Lagers,San Francisco, CA,Baby Daddy Session IPA,0.047,35,American IPA,12
123,Sierra Nevada Brewing Company,Chico, CA,Summerfest,0.05,28,Czech Pilsener,12
124,Sierra Nevada Brewing Company,Chico, CA,Sierra Nevada Pale Ale,0.056,37,American Pale Ale (APA),12
125,Sierra Nevada Brewing Company,Chico, CA,Sierra Nevada Pale Ale,0.056,37,American Pale Ale (APA),16
126,Sierra Nevada Brewing Company,Chico, CA,CANfusion Rye Bock,0.06,NA,Rye Beer,12
127,Sierra Nevada Brewing Company,Chico, CA,Yonder Bock,0.06,NA,Maibock / Helles Bock,12
128,Sierra Nevada Brewing Company,Chico, CA,Torpedo,0.072,65,American IPA,12
129,Sierra Nevada Brewing Company,Chico, CA,Torpedo,0.072,65,American IPA,16
130,Sierra Nevada Brewing Company,Chico, CA,Old Chico Crystal Wheat,0.048,26,American Pale Wheat Ale,12
131,Sierra Nevada Brewing Company,Chico, CA,Nooner,0.052,NA,German Pilsener,12
132,Mission Brewery,San Diego, CA,Cortez Gold,0.05,NA,Belgian Pale Ale,32
133,Mission Brewery,San Diego, CA,Mission IPA,0.068,66,American IPA,32
134,Mission Brewery,San Diego, CA,El Conquistador Extra Pale Ale,0.048,44,American Pale Ale (APA),32
135,Mission Brewery,San Diego, CA,Shipwrecked Double IPA,0.092,75,American Double / Imperial IPA,32
136,Mother Earth Brew Company,Vista, CA,Cali Creamin',0.052,21,Cream Ale,12
137,Black Market Brewing Company,Temecula, CA,Black Market Hefeweizen,0.05,8,Hefeweizen,12
138,Black Market Brewing Company,Temecula, CA,Deception,0.045,16,American Blonde Ale,12
139,Black Market Brewing Company,Temecula, CA,Aftermath Pale Ale,0.058,44,American Pale Ale (APA),12
140,Black Market Brewing Company,Temecula, CA,Blackmarket Rye IPA,0.075,35,American IPA,12
141,Anderson Valley Brewing Company,Boonville, CA,Fall Hornin',0.06,NA,Pumpkin Ale,12
142,Anderson Valley Brewing Company,Boonville, CA,Blood Orange Gose,0.042,NA,Gose,12
143,Anderson Valley Brewing Company,Boonville, CA,Summer Solstice,0.056,4,Cream Ale,12
144,Anderson Valley Brewing Company,Boonville, CA,Keebarlin' Pale Ale,0.042,NA,American Pale Ale (APA),12
145,Anderson Valley Brewing Company,Boonville, CA,Barney Flats Oatmeal Stout,0.057,13,Oatmeal Stout,12
146,Anderson Valley Brewing Company,Boonville, CA,Hop Ottin' IPA,0.07,80,American IPA,12
147,Anderson Valley Brewing Company,Boonville, CA,Summer Solstice (2011),0.056,4,Cream Ale,12
148,Anderson Valley Brewing Company,Boonville, CA,Boont Amber Ale (2010),0.058,15,American Amber / Red Ale,12
149,Anderson Valley Brewing Company,Boonville, CA,Poleeko Gold Pale Ale (2009),0.055,28,American Pale Ale (APA),12
150,Anderson Valley Brewing Company,Boonville, CA,Boont Amber Ale,0.058,15,American Amber / Red Ale,12
151,Anderson Valley Brewing Company,Boonville, CA,Hop Ottin' IPA (2011),0.07,80,American IPA,12
152,Anderson Valley Brewing Company,Boonville, CA,Barney Flats Oatmeal Stout (2012),0.057,13,Oatmeal Stout,12
153,Anderson Valley Brewing Company,Boonville, CA,"the Kimmie, the Yink and the Holy Gose",0.048,NA,Gose,12
154,Anderson Valley Brewing Company,Boonville, CA,Winter Solstice,0.069,6,Winter Warmer,12
155,Anderson Valley Brewing Company,Boonville, CA,Boont Amber Ale (2011),0.058,15,American Amber / Red Ale,12
156,Anderson Valley Brewing Company,Boonville, CA,Summer Solstice Cerveza Crema (2009),0.056,4,Cream Ale,12
157,Anderson Valley Brewing Company,Boonville, CA,Barney Flats Oatmeal Stout,0.057,13,Oatmeal Stout,12
158,Anderson Valley Brewing Company,Boonville, CA,El Steinber Dark Lager,0.055,25,Vienna Lager,16
159,Modern Times Beer,San Diego, CA,Lomaland,0.055,30,Saison / Farmhouse Ale,16
160,Modern Times Beer,San Diego, CA,Booming Rollers,0.068,75,American IPA,16
161,Modern Times Beer,San Diego, CA,Fortunate Islands,0.047,46,American Pale Wheat Ale,16
162,Modern Times Beer,San Diego, CA,City of the Sun,0.075,85,American IPA,16
163,Modern Times Beer,San Diego, CA,Oneida,0.052,50,American Pale Ale (APA),16
164,Modern Times Beer,San Diego, CA,Blazing World,0.065,115,American Amber / Red Ale,16
165,Modern Times Beer,San Diego, CA,Aurora ,0.067,75,American Amber / Red Ale,16
166,Modern Times Beer,San Diego, CA,Black House,0.058,40,American Stout,16
167,Refuge Brewery,Temecula, CA,Blood Orange Wit,0.05,16,Witbier,16
168,Golden Road Brewing,Los Angeles, CA,Heal the Bay IPA,0.068,65,American IPA,16
169,Golden Road Brewing,Los Angeles, CA,Might As Well IPL,0.072,75,American Pale Lager,16
170,Golden Road Brewing,Los Angeles, CA,Wolf Among Weeds IPA,0.08,70,American IPA,16
171,Golden Road Brewing,Los Angeles, CA,Better Weather IPA,0.094,92,American IPA,16
172,Golden Road Brewing,Los Angeles, CA,Saison Pamplemousse,0.058,35,Saison / Farmhouse Ale,12
173,Golden Road Brewing,Los Angeles, CA,Get Up Offa That Brown,0.055,20,American Brown Ale,16
174,Golden Road Brewing,Los Angeles, CA,Point the Way IPA,0.059,60,American IPA,16
175,Golden Road Brewing,Los Angeles, CA,Cabrillo Kölsch,0.05,NA,Kölsch,16
176,Golden Road Brewing,Los Angeles, CA,Point the Way IPA,0.059,60,American IPA,12
177,Golden Road Brewing,Los Angeles, CA,Point the Way IPA (2012),0.059,60,American IPA,16
178,Golden Road Brewing,Los Angeles, CA,2020 IPA,0.074,74,American IPA,16
179,Golden Road Brewing,Los Angeles, CA,Golden Road Hefeweizen,0.046,15,Hefeweizen,16
180,Golden Road Brewing,Los Angeles, CA,Golden Road Hefeweizen (2012),0.046,15,Hefeweizen,16
181,Golden Road Brewing,Los Angeles, CA,Burning Bush Smoked IPA,0.08,70,American IPA,16
182,Golden Road Brewing,Los Angeles, CA,Wolf Among Weeds IPA (2012),0.08,70,American IPA,16
183,Santa Cruz Mountain Brewing,Santa Cruz, CA,Giant DIPA,0.089,88,American Double / Imperial IPA,16
184,Santa Cruz Mountain Brewing,Santa Cruz, CA,Casinos IPA,0.07,NA,English India Pale Ale (IPA),16
185,Santa Cruz Mountain Brewing,Santa Cruz, CA,Dread Brown Ale,0.054,NA,American Brown Ale,12
186,Headlands Brewing Company,Mill Valley, CA,Groupe G,0.076,65,Belgian IPA,16
187,Headlands Brewing Company,Mill Valley, CA,Hill 88 Double IPA,0.088,77,American Double / Imperial IPA,16
188,Headlands Brewing Company,Mill Valley, CA,Pt. Bonita Rustic Lager,0.062,40,American Pale Lager,16
189,Saint Archer Brewery,San Diego, CA,Saint Archer Blonde,0.048,22,Kölsch,12
190,Saint Archer Brewery,San Diego, CA,Saint Archer IPA,0.068,66,American IPA,12
191,Saint Archer Brewery,San Diego, CA,Saint Archer Pale Ale,0.052,40,American Pale Ale (APA),12
192,Saint Archer Brewery,San Diego, CA,Saint Archer White Ale,0.05,15,Witbier,12
193,Pine Street Brewery,San Francisco, CA,Atom Splitter Pale Ale,0.05,NA,American Pale Ale (APA),12
194,Pine Street Brewery,San Francisco, CA,Black Bay Milk Stout,0.05,NA,Milk / Sweet Stout,12
195,Claremont Craft Ales,Claremont, CA,Jacaranada Rye IPA,0.067,60,American IPA,16
196,David's Ale Works,Diamond Springs, CA,Sprocket Pale Ale (2006),0.05,NA,American Pale Ale (APA),12
197,David's Ale Works,Diamond Springs, CA,Sprocket Blonde Ale (2006),0.05,NA,American Blonde Ale,12
198,Manzanita Brewing Company,Santee, CA,Riverwalk Blonde Ale,0.06,25,American Blonde Ale,12
199,Manzanita Brewing Company,Santee, CA,Manzanita Pale Ale,0.066,44,American Pale Ale (APA),12
200,Manzanita Brewing Company,Santee, CA,Manzanita IPA,0.08,88,American IPA,12
201,Manzanita Brewing Company,Santee, CA,Gillespie Brown Ale,0.095,49,American Brown Ale,12
202,Manzanita Brewing Company,Santee, CA,Chaotic Double IPA,0.099,93,American Double / Imperial IPA,12
203,Central Coast Brewing Company,San Luis Obispo, CA,Catch 23,0.075,77,American Black Ale,16
204,Central Coast Brewing Company,San Luis Obispo, CA,Lucky Day IPA,0.072,85,American IPA,16
205,Central Coast Brewing Company,San Luis Obispo, CA,Chai Ale,0.051,15,Herbed / Spiced Beer,16
206,Central Coast Brewing Company,San Luis Obispo, CA,Terrace Hill Double IPA,0.095,99,American Double / Imperial IPA,16
207,21st Amendment Brewery,San Francisco, CA,Hell or High Watermelon Wheat (2009),0.049,17,Fruit / Vegetable Beer,12
208,21st Amendment Brewery,San Francisco, CA,Bitter American,0.044,42,American Pale Ale (APA),12
209,21st Amendment Brewery,San Francisco, CA,Hell or High Watermelon Wheat (2009),0.049,17,Fruit / Vegetable Beer,12
210,21st Amendment Brewery,San Francisco, CA,21st Amendment Watermelon Wheat Beer (2006),0.049,17,Fruit / Vegetable Beer,12
211,21st Amendment Brewery,San Francisco, CA,Bitter American (2011),0.044,42,American Pale Ale (APA),12
212,21st Amendment Brewery,San Francisco, CA,Monk's Blood,0.083,35,Belgian Dark Ale,12
213,21st Amendment Brewery,San Francisco, CA,Fireside Chat,0.079,45,Winter Warmer,12
214,21st Amendment Brewery,San Francisco, CA,Marooned On Hog Island,0.079,NA,American Stout,12
215,21st Amendment Brewery,San Francisco, CA,Brew Free! or Die IPA (2008),0.07,70,American IPA,12
216,21st Amendment Brewery,San Francisco, CA,Hell or High Watermelon Wheat,0.049,17,Fruit / Vegetable Beer,12
217,21st Amendment Brewery,San Francisco, CA,Brew Free! or Die IPA (2009),0.07,70,American IPA,12
218,21st Amendment Brewery,San Francisco, CA,Fireside Chat (2010),0.079,45,Winter Warmer,12
219,21st Amendment Brewery,San Francisco, CA,Brew Free! or Die IPA,0.07,65,American IPA,12
220,21st Amendment Brewery,San Francisco, CA,He Said Belgian-Style Tripel,0.082,NA,Tripel,12
221,21st Amendment Brewery,San Francisco, CA,Special Edition: Allies Win The War!,0.085,52,English Strong Ale,12
222,21st Amendment Brewery,San Francisco, CA,Back in Black,0.068,65,American Black Ale,12
223,21st Amendment Brewery,San Francisco, CA,Hop Crisis,0.097,94,American Double / Imperial IPA,12
224,21st Amendment Brewery,San Francisco, CA,Lower De Boom,0.099,92,American Barleywine,8.4
225,21st Amendment Brewery,San Francisco, CA,He Said Baltic-Style Porter,0.082,NA,Baltic Porter,12
226,21st Amendment Brewery,San Francisco, CA,21st Amendment IPA (2006),0.07,70,American IPA,12
227,Pizza Port Brewing Company,Carlsbad, CA,Chronic Ale,0.049,NA,American Amber / Red Ale,16
228,Pizza Port Brewing Company,Carlsbad, CA,PONTO S.I.P.A.,0.045,NA,American IPA,16
229,Pizza Port Brewing Company,Carlsbad, CA,Swami's India Pale Ale,0.068,NA,American IPA,16
230,Ruhstaller Beer Company,Sacramento, CA,1881 California Red,0.056,35,American Amber / Red Ale,12
231,Ruhstaller Beer Company,Sacramento, CA,CAPT Black IPA,0.073,55,American Black Ale,12
232,Ruhstaller Beer Company,Sacramento, CA,Ruhstaller's Gilt Edge Lager Beer,0.048,42,American Amber / Red Lager,12
233,Ruhstaller Beer Company,Sacramento, CA,1881 California Red Ale,0.056,35,American Amber / Red Ale,16
234,Ruhstaller Beer Company,Sacramento, CA,CAPT Black IPA,0.073,55,American Black Ale,16
235,Hess Brewing Company,San Diego, CA,Ex Umbris Rye Imperial Stout,0.099,85,American Double / Imperial Stout,16
236,Hess Brewing Company,San Diego, CA,Grazias,0.063,30,Cream Ale,16
237,Hess Brewing Company,San Diego, CA,Habitus IPA,0.08,86,American IPA,16
238,Seabright Brewery,Santa Cruz, CA,Blur India Pale Ale,0.074,60,American IPA,12
239,Mavericks Beer Company,Half Moon Bay, CA,Pit Stop Chocolate Porter,0.037,34,American Porter,12
240,Mavericks Beer Company,Half Moon Bay, CA,Back in the Saddle Rye Pale Ale,0.037,53,American Pale Ale (APA),12
241,Mavericks Beer Company,Half Moon Bay, CA,Pace Setter Belgian Style Wit,0.037,21,Witbier,12
242,TailGate Beer,San Diego, CA,Dodgy Knight Imperial IPA,0.08,95,American Double / Imperial IPA,12
243,TailGate Beer,San Diego, CA,TailGate Saison,0.05,NA,Saison / Farmhouse Ale,12
244,TailGate Beer,San Diego, CA,TailGate Hefeweizen,0.049,28,Hefeweizen,24
245,TailGate Beer,San Diego, CA,TailGate IPA,0.05,44,American IPA,24
246,TailGate Beer,San Diego, CA,TailGate IPA,0.05,44,American IPA,12
247,TailGate Beer,San Diego, CA,Blacktop Blonde,0.05,19,American Blonde Ale,24
248,TailGate Beer,San Diego, CA,Blacktop Blonde,0.05,19,American Blonde Ale,12
249,TailGate Beer,San Diego, CA,TailGate Hefeweizen,0.049,28,Hefeweizen,12
250,Armstrong Brewing Company,South San Francisco, CA,Mo's Gose,0.052,10,Gose,16
251,Hangar 24 Craft Brewery,Redlands, CA,Hangar 24 Helles Lager,0.043,14,Munich Helles Lager,12
252,Hangar 24 Craft Brewery,Redlands, CA,Orange Wheat,0.046,17,Fruit / Vegetable Beer,12
253,Devil's Canyon Brewery,Belmont, CA,Deadicated Amber,0.054,27,American Amber / Red Ale,16
254,Devil's Canyon Brewery,Belmont, CA,Kaleidoscope Collaboration 2012,NA,NA,American Black Ale,16
255,Devil's Canyon Brewery,Belmont, CA,Full Boar Scotch Ale,0.074,12,Scotch Ale / Wee Heavy,16
256,Devil's Canyon Brewery,Belmont, CA,California Sunshine Rye IPA,0.071,85,American IPA,16
257,Monkey Paw Pub & Brewery,San Diego, CA,Rich Man's IIPA,0.087,NA,American Double / Imperial IPA,16
258,Monkey Paw Pub & Brewery,San Diego, CA,Monkey Paw Oatmeal Pale Ale,0.058,NA,American Pale Ale (APA),16
259,Monkey Paw Pub & Brewery,San Diego, CA,Sweet Georgia Brown,0.054,NA,American Brown Ale,16
260,Butcher's Brewing,Carlsbad, CA,Mucho Aloha Hawaiian Pale Ale,0.056,36,American Pale Ale (APA),12
261,Uncommon Brewers,Santa Cruz, CA,Siamese twin,0.085,NA,Dubbel,16
262,Uncommon Brewers,Santa Cruz, CA,Golden State Ale,0.064,NA,Belgian Pale Ale,16
263,Uncommon Brewers,Santa Cruz, CA,Baltic Porter,0.078,NA,Baltic Porter,16
264,Uncommon Brewers,Santa Cruz, CA,Bacon Brown Ale,0.068,NA,American Brown Ale,16
265,Uncommon Brewers,Santa Cruz, CA,Scotty K NA,0.001,NA,Low Alcohol Beer,16
266,Mammoth Brewing Company,Mammoth Lakes, CA,Epic IPA,0.065,NA,American IPA,12
267,Mammoth Brewing Company,Mammoth Lakes, CA,Golden Trout Pilsner,0.042,NA,German Pilsener,12
268,Mammoth Brewing Company,Mammoth Lakes, CA,Real McCoy Amber Ale (Current),0.045,NA,American Amber / Red Ale,12
269,Mammoth Brewing Company,Mammoth Lakes, CA,High Country Pilsner (Current),0.042,NA,German Pilsener,12
270,Ukiah Brewing Company,Ukiah, CA,Pilsner Ukiah,0.055,NA,German Pilsener,12
271,Great Divide Brewing Company,Denver, CO,Rumble,0.071,NA,American IPA,12
272,Great Divide Brewing Company,Denver, CO,Lasso,0.05,NA,American IPA,12
273,Great Divide Brewing Company,Denver, CO,Whitewater,0.061,NA,American Pale Wheat Ale,12
274,Great Divide Brewing Company,Denver, CO,Yeti  Imperial Stout,0.095,75,Russian Imperial Stout,12
275,Great Divide Brewing Company,Denver, CO,Orabelle,0.083,NA,Tripel,12
276,Great Divide Brewing Company,Denver, CO,Titan IPA,0.071,NA,American IPA,12
277,Great Divide Brewing Company,Denver, CO,Hibernation Ale,0.087,NA,Old Ale,12
278,Great Divide Brewing Company,Denver, CO,Colette,0.073,NA,Saison / Farmhouse Ale,12
